Name,Team,url,AB,H,AVE,HR,R,RBI,SB,eAB,eH,eAVE,eHR,eR,eRBI,eSB,tAB,tH,tAVE,tHR,tR,tRBI,tSB,Total,wAVE,wHR,wR,wRBI,wSB
Jett Bandy,Brewers,http://www.fangraphs.com/statss.aspx?playerid=12508&position=C,51,17,0.333,4,9,9,1,242,58,0.24,9,26,29,2,293,75,0.256,13,35,38,3,2.2,-1.074,1.856,0.437,0.693,0.288
Andrew Knapp,Phillies,http://www.fangraphs.com/statss.aspx?playerid=14942&position=C,27,8,0.296,1,2,2,0,122,28,0.23,3,13,13,1,149,36,0.242,4,15,15,1,-0.957,-1.242,0.176,0.034,0.043,0.032
Justin Bour,Marlins,http://www.fangraphs.com/statss.aspx?playerid=9744&position=1B,91,20,0.22,4,8,15,0,446,116,0.26,19,54,68,1,537,136,0.253,23,62,83,1,12.988,-2.506,5.811,2.427,7.224,0.032
Derek Dietrich,Marlins,http://www.fangraphs.com/statss.aspx?playerid=10542&position=2B,48,10,0.208,0,3,4,0,293,72,0.246,9,38,36,1,341,82,0.24,9,41,40,1,-0.636,-3.069,0.89,0.702,0.809,0.032
Jonathan Villar,Brewers,http://www.fangraphs.com/statss.aspx?playerid=10071&position=SS,114,24,0.211,4,15,16,5,460,115,0.25,13,66,49,37,574,139,0.242,17,81,65,42,63.629,-4.783,3.175,5.412,3.47,56.355
Zack Cozart,Reds,http://www.fangraphs.com/statss.aspx?playerid=2616&position=SS,82,27,0.329,1,13,9,1,450,114,0.253,11,57,50,4,532,141,0.265,12,70,59,5,8.114,-0.355,1.582,3.493,2.595,0.799
Cory Spangenberg,Padres,http://www.fangraphs.com/statss.aspx?playerid=12294&position=2B,28,8,0.286,0,5,2,1,331,86,0.26,5,40,37,9,359,94,0.262,5,45,39,10,4.549,-0.598,0.275,0.928,0.749,3.195
Greg Garcia,Cardinals,http://www.fangraphs.com/statss.aspx?playerid=10951&position=2B/3B/SS,40,12,0.3,0,1,2,2,195,49,0.251,2,22,17,4,235,61,0.26,2,23,19,6,0.857,-0.548,0.044,0.124,0.087,1.15
Aaron Altherr,Phillies,http://www.fangraphs.com/statss.aspx?playerid=11270&position=OF,55,18,0.327,3,14,10,2,236,56,0.237,8,31,31,6,291,74,0.254,11,45,41,8,3.912,-1.261,1.329,0.928,0.871,2.045
Michael Conforto,Mets,http://www.fangraphs.com/statss.aspx?playerid=16376&position=OF,70,25,0.357,7,15,18,1,310,82,0.265,16,47,49,2,380,107,0.282,23,62,67,3,14.226,1.9,5.811,2.427,3.8,0.288
Bryce Harper,Nationals,http://www.fangraphs.com/statss.aspx?playerid=11579&position=OF,98,38,0.388,9,34,27,0,433,127,0.293,28,86,83,11,531,165,0.311,37,120,110,11,61.106,7.788,15.038,17.597,16.817,3.866
A.J. Pollock,Diamondbacks,http://www.fangraphs.com/statss.aspx?playerid=9256&position=OF,114,36,0.316,2,20,8,11,444,129,0.291,12,69,47,25,558,165,0.296,14,89,55,36,58.231,5.394,2.153,7.179,2.102,41.403
Anthony Rizzo,Cubs,http://www.fangraphs.com/statss.aspx?playerid=3473&position=1B,105,26,0.248,6,16,17,4,458,128,0.279,27,77,85,7,563,154,0.274,33,93,102,11,38.742,1.314,11.963,8.191,13.408,3.866
Adam Frazier,Pirates,http://www.fangraphs.com/statss.aspx?playerid=15223&position=2B/OF,49,15,0.306,1,5,5,0,214,59,0.276,2,24,19,7,263,74,0.281,3,29,24,7,3.314,1.227,0.099,0.248,0.175,1.565
